Listing_ID,Price,Bedrooms,Bathrooms,City,Neighborhood,Property_Type,Square_Feet,Year_Built,Has_Backyard,Description
ATX-10001,420000,2,1.5,Austin,Downtown,Single Family,1050,1985,True,"Charming bungalow in Downtown, Austin. The home offers tree-lined street with an inviting front porch, 2 bedrooms, and 1.5 bathrooms. It features a private fenced backyard, with approximately 1050 sq ft of living space. Built in 1985, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10002,431000,3,2.0,Round Rock,East Austin,Townhouse,1223,1992,True,"Modern family home in East Austin, Round Rock. The home offers open-concept living area and practical floor plan, 3 bedrooms, and 2 bathrooms. It features a large landscaped backyard, with approximately 1223 sq ft of living space. Built in 1992, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10003,442000,4,2.5,Cedar Park,South Congress,Condo,1396,1999,False,"Updated ranch home in South Congress, Cedar Park. The home offers single-level layout with comfortable living spaces, 4 bedrooms, and 2.5 bathrooms. It features a covered patio for outdoor dining, with approximately 1396 sq ft of living space. Built in 1999, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10004,496250,3,3.0,Pflugerville,Zilker,Single Family,1569,2006,False,"Contemporary townhouse in Zilker, Pflugerville. The home offers clean lines, open living areas, and low-maintenance design, 3 bedrooms, and 3 bathrooms. It features a attached two-car garage, with approximately 1569 sq ft of living space. Built in 2006, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10005,395000,5,3.5,Georgetown,Mueller,Townhouse,1742,2013,False,"Bright corner condo in Mueller, Georgetown. The home offers large windows and an efficient open layout, 5 bedrooms, and 3.5 bathrooms. It features a private swimming pool, with approximately 1742 sq ft of living space. Built in 2013, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10006,358750,2,1.5,Leander,North Loop,Condo,1915,2020,False,"Renovated cottage in North Loop, Leander. The home offers warm interiors and a private outdoor space, 2 bedrooms, and 1.5 bathrooms. It features a dedicated home office, with approximately 1915 sq ft of living space. Built in 2020, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10007,592500,3,2.0,Austin,Hyde Park,Single Family,2088,1988,True,"Spacious suburban home in Hyde Park, Austin. The home offers generous living areas and a flexible floor plan, 3 bedrooms, and 2 bathrooms. It features a low-maintenance garden, with approximately 2088 sq ft of living space. Built in 1988, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10008,461250,4,2.5,Round Rock,Bouldin,Townhouse,2261,1995,True,"Modern condo in Bouldin, Round Rock. The home offers updated finishes and convenient city access, 4 bedrooms, and 2.5 bathrooms. It features a wooden deck overlooking the yard, with approximately 2261 sq ft of living space. Built in 1995, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10009,410000,3,3.0,Cedar Park,Clarksville,Condo,2434,2002,True,"Charming bungalow in Clarksville, Cedar Park. The home offers tree-lined street with an inviting front porch, 3 bedrooms, and 3 bathrooms. It features a private fenced backyard, with approximately 2434 sq ft of living space. Built in 2002, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
ATX-10010,578750,5,3.5,Pflugerville,Westlake,Single Family,2607,2009,True,"Modern family home in Westlake, Pflugerville. The home offers open-concept living area and practical floor plan, 5 bedrooms, and 3.5 bathrooms. It features a large landscaped backyard, with approximately 2607 sq ft of living space. Built in 2009, it is well suited for comfortable everyday living and convenient access to nearby shops, dining, parks, and local amenities."
